"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\about\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\about\display\Join.tsx", "TypeScript JSX", 0, 107, 0, 2, 16, 125
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\about\display\Main.tsx", "TypeScript JSX", 0, 201, 0, 0, 14, 215
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\about\index.tsx", "TypeScript JSX", 0, 80, 0, 0, 15, 95
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\about\navigation.tsx", "TypeScript JSX", 0, 13, 0, 0, 3, 16
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\appeal\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\appeal\display\Main.tsx", "TypeScript JSX", 0, 26, 0, 27, 8, 61
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\appeal\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 6, 25
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\appeal\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\display.tsx", "TypeScript JSX", 0, 9, 0, 0, 1, 10
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\display\Main.tsx", "TypeScript JSX", 0, 97, 0, 0, 8, 105
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\functions.ts", "TypeScript", 38, 0, 0, 5, 11, 54
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\index.ts", "TypeScript", 11, 0, 0, 0, 1, 12
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\listener.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\loader.ts", "TypeScript", 9, 0, 0, 1, 4, 14
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\calendarTest\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\empty\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\empty\display\Main.tsx", "TypeScript JSX", 0, 6, 0, 0, 1, 7
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\empty\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 6, 25
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\empty\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 1, 6
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\error\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\error\display\Main.tsx", "TypeScript JSX", 0, 17, 0, 0, 2, 19
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\error\index.tsx", "TypeScript JSX", 0, 19, 0, 0, 6, 25
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\error\navigation.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\events\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\events\display\Main.tsx", "TypeScript JSX", 0, 108, 0, 0, 8, 116
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\events\display\Show.tsx", "TypeScript JSX", 0, 164, 0, 0, 8, 172
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\events\index.tsx", "TypeScript JSX", 0, 28, 0, 0, 7, 35
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\events\navigation.tsx", "TypeScript JSX", 0, 13, 0, 0, 4, 17
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\experts\cemjs.json", "JSON", 0, 0, 4, 0, 0, 4
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\experts\display\Main.tsx", "TypeScript JSX", 0, 100, 0, 12, 12, 124
"c:\Users\Konstantin\Documents\GitHub\racib.com\frontends\experts\index.tsx", "TypeScript JSX", 0, 28, 0, 0, 6, 34
